author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Вивье, К.",1,ВивьеК,f,Автостоп,1,,,ВивьеК,NA
"Вивье, Колет",2,ВивьеК,f,"Полярная звезда; Дом на улице Четырех Ветров",2,,,ВивьеК,NA
"Вивье, Колетт",1,ВивьеК,f,"Маленький театр",1,,,ВивьеК,NA
"Вигдоп, Лев",1,ВигдопЛ,m,Амулет,1,,,ВигдопЛ,NA
"Вигдорова, Ф.",39,ВигдороваФ,f,"Двенадцать отважных; Мой класс; Вильде Эдуард. Мои первые «полосатые»; Дорога в жизнь; 12 отважных; Минуты тишины; Вася Носаков; В Артемовске; Мать и сын; Снова в Покровском; Первая листовка; Загадка; Девочки; Лена; Все вместе; Клятва; Новый друг; КСП; - Прежде и теперь; Беглецы; Прощание. ■— Неосторожность; Без Васи; Ночью в степи; Переполох; Письмо с каторги; Новая беда надвигается; Обыск; Придумали! — В пещере; Страница из дневника; Ожидание; Налет; Освобождение",32,,,ВигдороваФ,NA
"Вигдорова, Фрида",1,ВигдороваФ,f,"Двенадцать отважных",1,,,ВигдороваФ,NA
"Вигдорович, П.",2,ВигдоровичП,-,"Онегострой; Шиворот-навыворот",2,,,ВигдоровичП,NA
"Вигилев, А. Н.",1,ВигилевАН,m,"Имя твое — коллекционер",1,,,ВигилевА,ВигилевАН
"Вигилянский, Н. Д.",1,ВигилянскийНД,m,"Люди окраин",1,,,ВигилянскийН,ВигилянскийНД
"Видгоп, Л.",3,ВидгопЛ,-,"Дружба великая и трогательная; Амулет; Секрет шкипера Харвея",3,,,ВидгопЛ,NA
"Виеру, Г.",39,ВиеруГ,m,"Ежик и барабан; Мамин портрет; Веселая азбука; Мама; Возьми с собой; Мамин день; Считалка; Медведь; Рыбкин телефон; Ракета; Кран; Колыбельная; Птенцы; Ласточка; Скажи...; Виноградная лоза; Хлеб; Ресницы; Мама, почему?; Моя мама — учительница; Моя мама — доктор; Моя мама — почтальон; У моря; Что снится автобусу; В троллейбусе; Разноцветный мяч; Девочка; Можно войти?; Козленок; Кузнечик в городе; Зима; Пою сам себе",32,,,ВиеруГ,NA
"Виеру, Григоре",122,ВиеруГ,m,"Веселый перезвон; Хлеб с росою; Лесные часы; Спасибо за мир; Новый дом; Сварливые ботиночки; Что снится автобусу; Пою сам себе; Возьми с собой; У кого такая елка; Эй, гнедые; Игра в снежки; Ни зонта, ни шляпы..; Где они?— Братья; Дождь; После дождя; Петухи; Подарок; Солнце; Вдоль деревни, вдоль ре. ки..; На проводах; Битва; Два ягненка; Хлеб с росою Доброе утро; Чей флажок краснее? На берегу озера; Где хранятся годы?; Гость; Волк; Еж; Дятел; Аист; Коза; Лиса; Заяц; Медведь; Весна; Хлеб; Дерево; Воробьиная зима; Флажок; Умелые руки; Кран; Пчелы; Два яблока; Снег идет; Следы; Дед Мороз; Если бы дети всей земли; Д а ­ вайте, дети! Песенка; Лейся, дож ­ дик! У моря; Мой корабль; Который час?; Давайте, дети! Колыбельная; В заячьей школе; Я пою сам себе; Старый дом; Забыл; Лейся, дож ­ дик! Улитка; Пер; •Я; Акима; Кто главней? Пер; А; Гангова; Песенка лягушат; Письма; Семирукий Никс; Ежик и баран; Мороз; Который час? Ш кольный звонок; Я; Т; Жирмунской; Тельняшка; Радуга; У моря; Из школы; Мама; В; Берестова; Ходит осень за окном; Какого ц вета..; Ж ирмунской!; Мамин день; Девочка; Ежик и барабан; До, Ре, Ми; Кузнечик; Улитка; Моя мама — почтальон; Давайте, дети!; Моя мама — доктор; Моя мама — учительница; Ракета",94,,,ВиеруГ,NA
Виклог-Досов,1,Виклог-Досов,m,Друзья-вояки,1,,,Виклог-Досов,NA
"Викол, Е.",1,ВиколЕ,-,"Про маленького Никулине, сестру Маричку, собачку Ку-цу и тех, кто живет на лугах и в лесу...",1,,,ВиколЕ,NA
"Викстрем, У. К.",1,ВикстремУК,-,Эйла,1,,,ВикстремУ,ВикстремУК
"Викторов, В.",59,ВикторовВИ,m,"Мы не пустим скуку в дом; Бычок-новичок; Переполох; ОКТЯБРЯТАМ О ЛЕНИНЕ; В комнате номер сто; Мавзолей; Товарищ Иванов; Письмо на волю; На субботнике; Старый дуб; Щегленок; Ленин и весна; Ленин на параде; НАШИ РУКИ НЕ ЗНАЮТ СКУКИ; Дружная семья; Звездочка; Славная бригада; В живом уголке; Наш огород; Цирк; Весна; Праздник лета; Канитель; Красные косынки; Осень добрая пришла; Зима; Ошибка; Заячья елка; Наша звездочка; Взвейся, песня, за пилотом! В сказочном лесу; Джингербред; На лесной опушке; Волшебный зуб; Первая травка; (Одноактная пьеса-сказка для октябрят; Сюжет разработан совместно с Ф; Олиным); Живые портреты; Сколько ошибок; (Интермедия написана совместно с Ф; Витя-поэт; ДРУЖБА ВСЕГО ДОРОЖЕ; Ок-тябрятский фестиваль; Октябрят-ская почта; ЕСЛИ ЗНАЕШЬ — ОТВЕЧАЙ! Гости ходят в огород; (Игра-хоровод); Кто где пляшет; Зимние шутки; Загадки; Скороговорки; Считалки; Шутки; «Да» или «Нет»; (Игра-шутка); Прибаутки; А теперь; ;",57,,,ВикторовВ,NA
"Викторов, В. И.",65,ВикторовВИ,m,"Семь веток; Ветка и прутик; Чтобы утро было добрым; Хорошо под солнцем; Волшебство; Лист бумаги; Утро; Дорога; «Я лезу вверх по склону...»; За домом; Горизонт; Минерал; Как же траве достается!; Ветка березы; Сирень; «Собака лает и скулит...»; Профессия с приставкой; Старый вагон; Дельфины; Аквариум; Осинка; Велосипед; На перроне; Мои стихи; Рояль; Транзистор; Марка; Зимуют корабли; Холодная песенка; Спят автобусы; Беглец; Цыплята; Лягушка; Крот; Птичка; Шмель; Щенок; Воробей; Оса; Облака; Река; Сосна; Письма; Потухший вулкан; Машина; Лодка; Часовые стрелки; Скамейка; «Две верхушки шумят у сосны...»; «Люблю в мороз домой ввалиться...»; Снег; «Дождик, дождик...»; Ивы; После дождя; Лесные подарки; Костер; Сторожка; Пойди-ка попробуй!; ШУТОЧНЫЕ СТИХИ: На охоте; Крокодиловы слезы; Бедный грош; Умный кулик; Веселые ошибки; «Разгорелся в речке спор...»; Проводы",65,,,ВикторовВ,ВикторовВИ
"Викторов, Виктор",98,ВикторовВИ,m,"Джек-простак; На лыжах сквозь годы; В пионерской республике; Для тебя и про тебя; Злодеи в галерее; Каменотес; Музей беспорядка; Найди-ка, попробуй; Рада свекла, что промокла; Все началось с телеграммы..; Дневное кино; Волшебная палочка; Здравствуй, Крым! Над лагерной мачтой; На пляже; Абсолют; При свете луны; У костра; День завершен; Письмо про белого бычка; Потерянный аппетит; Оригинальная коллекция; Близорукий летописец; Катер уходит в нейтральные воды; Федин альбом; Простое решение; Говорящая скатерть; На рыбной ловле; Вано за работой; На площади костровой; Лучшая память; Стол находок; Уголек; Седьмой отряд; Дорогие ребята! (Предисловие); Пусть сильней печет лопатки. Кто играет лучше (Сказка о народных инструментах). Внимание, юные граждане! (Сатирическое обозрение). У нас их не встретишь; На свете есть люди; .; Мистер Спрут-фабрикант; Господин Сейф-банкир; Сэр Хлыст-колонист; Греми Гром-генерал; Гер фон-дер Зверр-фашист; О! Кэй-полицейский; Монсиньор Обманини кардинал; Ты видел фашиста и видел банкира.;; Школа; Беглец; Леденцы; Пушистые спинки; Огород.; Щенок; Холодная песенка; Следы на снегу; Люблю чинить!—Цветок; Горячая песенка; Найди-ка попробуй; Кузнечик и улитка; Старый кактус; Лист бумаги; Волшебство; Как же траве достается!; Горизонт; «М-160»; Марка; «Стою у витрины...»; Старый вагон; Лодка; Солнце и луна; Река; Дождь; Сосна; На перроне; Все — за окном; Дорога; Ветка березы; Утро; Сирень; После дождя; Воробей; Оса; Крот; Шмель; Осинка; Лягушка; «Собака лает...»; Рояль; В школу; Птичка!; Мои стихи; Велосипед; На охоте; Аквариум; Снег; «Я ходить не могу...»; Ивы; ШУТОЧНЫЕ СТИХИ: Бедный грош; Крокодиловы слезы; Деловой разговор; Умный кулик; «Жил судак...»; «Лоточник кричит...»; Проводы",102,,,ВикторовВ,NA
"Викторов, К.",1,ВикторовК,m,Мишка-чемпион,1,,,ВикторовК,NA
"Викторов, Р.",2,ВикторовР,m,"Десять октябрей; История одного знамени",2,,,ВикторовР,NA
"Викторова, Эльмира",17,ВиктороваЭ,f,"Хлеб растет в деревне; Тот самый мальчик; Счастье в доме; Не так, как в городе; Тайна, которую надо хранить до могилы; Почетный мир; Майский мед; Гордиться надо!; Петухи чувствуют время; Вместо северного сияния; Я тебе человек!; Жаба; Собаки и реки; Поставили на ноги; Где раки зимуют?; Конь; Письмо; В такую даль",18,,,ВиктороваЭ,NA
"Викулов, С.",9,ВикуловС,m,"Зеленый цех; Лесной поселок; Мечта Кости Смолкина; Дорога; На лесной делянке; Сердце делянки; «Вот машина, так машина»; Костя пробует пилить; Лес идет; Костя станет лесорубом",10,,,ВикуловС,NA
"Викулов, Сергей",13,ВикуловС,m,"Захотелось Мишке молока; Случай на реке; Захотелось мишке молока; Случай на реке,- Сад; Мальчишки нашего двора.; Княжица; Дождь; В первый класс; Кот-рыболов; Необыкновенная дружба; Подвиг воробьихи",11,,,ВикуловС,NA
"Виланд, К. М.",1,ВиландКМ,-,"Волшебная флейта",1,,,ВиландК,ВиландКМ
"Вилде, Э.",1,ВильдеЭ,m,"Человек закона",1,1865,1933,ВилдеЭ,NA
"Виленкин, Н. Я.",1,ВиленкинНЯ,m,"Функции в природе и технике",1,,,ВиленкинН,ВиленкинНЯ
"Виленский, Д.",14,ВиленскийД,m,"Шиворот-навыворот; Бунт игрушек; Веселые звери Анатолия Дурова; Весна; Забавы на славу; Зима; Кино; Ленин; Лето; Осень; Радиогазета—малышам всего света; Страшные рассказы; Ха!.; Четвероногие спортсмены",14,,,ВиленскийД,NA
"Виленский, Э.",3,ВиленскийЭИ,m,"Возвращение папанинцев; Шестнадцать дней на полюсе",2,,,ВиленскийЭ,NA
"Виленский, Э. И.",1,ВиленскийЭИ,m,Взлет,1,,,ВиленскийЭ,ВиленскийЭИ
"Вилип, П.",1,ВилипП,-,"Путешествие белочки",1,,,ВилипП,NA
"Вилле, Г. Г.",1,ВиллеГГ,-,"Чудесный мир воды",1,,,ВиллеГ,ВиллеГГ
"Виллиам, Г.",1,ВиллиамГ,-,"Наши четвероногие друзья",1,,,ВиллиамГ,NA
"Виллим, М.",1,ВиллимМ,-,Октябрь,1,,,ВиллимМ,NA
"Виллис, Вильям",1,ВиллисВ,m,"На плоту через океан",1,,,ВиллисВ,NA
"Вильде, Ирина",1,ВильдеИ,f,"Совершеннолетние дети",1,,,ВильдеИ,NA
"Вильде, Э.",1,ВильдеЭ,m,"Мои первые «полосатые»",1,1865,1933,ВильдеЭ,NA
"Вильде, Эдуард",1,ВильдеЭ,m,,,1865,1933,,
"Вильдрак, Шарль",1,ВильдракШ,m,Мило,1,,,ВильдракШ,NA
"Вилькин, Я.",1,ВилькинЯ,m,"Необыкновенные приключения Геннадия Диогено-ва",1,,,ВилькинЯ,NA
"Вилькин, Яков",1,ВилькинЯ,m,"История Лима Великолепного",1,,,ВилькинЯ,NA
"Вильковский, Я.",2,ВильковскийЯ,m,"Тигренок Петрик; Весенние заботы Тимчо",2,,,ВильковскийЯ,NA
"Вильковский, Ян.",1,ВильковскийЯ,m,"Медвежонок Римтимти",1,,,ВильковскийЯ,NA
"Вильямс, А. Р.",1,ВильямсАР,-,"Путешествие в революцию",1,,,ВильямсА,ВильямсАР
"Вильямс, И.",1,ВильямсИ,-,Трус,1,,,ВильямсИ,NA
"Винграновский, М.",1,ВинграновскийМ,m,Первинка,1,,,ВинграновскийМ,NA
"Виндерман, Р.",1,ВиндерманР,-,"Красные дьяволята",1,,,ВиндерманР,NA
"Винецкий, Ян.",1,ВинецкийЯ,m,Соловей,1,,,ВинецкийЯ,NA
"Виниченко, В.",4,ВиниченкоВ,-,"Федько-халамидник; Федька-оборвыш",2,,,ВиниченкоВ,NA
"Винкман, М.",3,ВинкманМ,-,"Это было в горах",1,,,ВинкманМ,NA
"Винников, Б.",2,ВинниковБ,m,Победа,1,,,ВинниковБ,NA
"Винников, В.",2,ВинниковВ,m,"Детство моряка",1,,,ВинниковВ,NA
"Винников, Василий",2,ВинниковВ,m,"Детство моряка",1,,,ВинниковВ,NA
"Винников, Леонид",4,ВинниковЛ,m,"Мальчик-с-пальчик и спичка-невеличка; В дом пришла беда; Почему это случилось?; Глава для родителей; Отважная девочка Валя",5,,,ВинниковЛ,NA
"Винниченко, П.",2,ВинниченкоП,-,"Как сделать улей и содержать пчел",1,,,ВинниченкоП,NA
"Виноградов, В.",4,ВиноградовВ,m,"Путь к профессии; Умей учиться и работать; Крылатые песни; От автора; Крылатые песни. Хоровод. Песня — оружие революции. Песня на фронте. Ночлег в Пасанаури. Дойра. Тайна царя Искандера. Темир-Комуз. В горах Тянь-Ш аня. Киргизская сказка. Волшебный свисток. У памятника сказителю",5,,,ВиноградовВ,NA
"Виноградов, Е.",2,ВиноградовЕ,m,"Памятные места борьбы за власть Советов в Кисловодске; По ущелью реки Березовки",2,,,ВиноградовЕ,NA
"Виноградов, И.",1,ВиноградовИ,m,"На краю Родины",1,,,ВиноградовИ,NA
"Виноградов, Л.",8,ВиноградовЛ,m,"Автоматические устройства и механизмы летающих моделей; Расчет винтомоторной группы модели самолета с резиномотором; Веселый троллейбус; Мчится поезд; Слон и Оська; Слово о полку Игореве; Кроко дил с секретом; Медвезайцы",8,,,ВиноградовЛ,NA
"Виноградов, Н.",1,ВиноградовН,m,"Как самому рассчитать и сделать электродвигатель",1,,,ВиноградовН,NA
"Виноградов, Николай",1,ВиноградовН,m,"Как самому рассчитать и сделать электродвигатель",1,,,ВиноградовН,NA
"Виноградов, Ю.",1,ВиноградовЮ,m,"Как самому рассчитать и сделать электродвигатель",1,,,ВиноградовЮ,NA
"Виноградов, Юрий",1,ВиноградовЮ,m,"Как самому рассчитать и сделать электродвигатель",1,,,ВиноградовЮ,NA
"Виноградская, С.",56,ВиноградскаяСС,f,"Искорка; На всех парусах; Комплект «Правды»,-Пациент; Концерт Шаляпина^ Искорка; Слава; Рассыльный «Бедноты»; Юбиляр; Комплект «Правды»; Пациент; Концерт Шаляпина; Кодцерт Шаляпина; Начало библиотеки; В детских ботинках; Поручение Ильича; Концерт Ш аляпина; И скорка; Ж ивая газета; Мой дорогой читатель",18,,,ВиноградскаяС,NA
"Виноградская, С. С.",1,ВиноградскаяСС,f,Искорка,1,,,ВиноградскаяС,ВиноградскаяСС
"Виноградская, Софья",8,ВиноградскаяСС,f,"Искорка; От авт.: Мой дорогой читатель. Комплект «Правды» — Пациент; Концерт Шаляпина — Искорка; Начало библиотеки; Слава; В детских ботинках; Рассыльный «Бедноты» —Живая газета —Поручение Ильича; Юбиляр на всех парусах",8,,,ВиноградскаяС,NA
"Винокуров, Д. А.",1,ВинокуровДА,m,"Зарядка пионеров в лагере и на площадке",1,,,ВинокуровД,ВинокуровДА
"Винокуров, Евгений",2,ВинокуровЕ,m,"Преодоление очевидностей; Отрочество. Первая фраза. «Дайте полночь в мои осторожные руки.. .» Удивление. Она. «Мне страшно: я ни разу не страдал. ..» «Преодоление очевидностей» «Ты не плачь, не плачь, не плачь. Не надо! ..» Синева. Свет. Небо. «Сколько прелести есть в человеческих лицах. ..» Л ебеди. Незабудки. Лошадь. «Кто только мне советов не давал! ..» Пророк. «Прибита прочно под дверьми подкова. ..» «Хочу быть начинающим поэтом.. .» Серебряный бор. Ребенок. Черный хлеб. Я. Чудаки. «Стихам своим служу. Я. как солдат пред ними...» Велогонщики. Мода. Я видел мир. «Она бывает там, где все вразброд...» Гамлет. Единичность. «И когда мои ноги уже затекали.. .» Кровь. Балы. Неудачи. «Чтоб пи было. . .» Музыка. Москвичи. «Я слово в д о х ­ н о в е н ь е не отдам ...» «Весною новой новая тр ав а ...» «Сибирские вагоны-рестораны.. .» Совесть. Уголь. Работа. Разнообразие. Когда не раскрывается парашют. В бумажном отделе ГУМа. «Я жил минутой. . .» Ода линии. Стихия. Зеркала. Встреча. Глубина. Танцы. «Мои друзья — загадка для меня. ..» «Любите плотность мира, теплоту. . .» «Как был уютен мир Эвклида. . .» Я посетил тот город. Доброта. «Итак, все кончено. ..» «Моя любимая сти рала.. .» Простодушие. Черт. «Я мужество воспринимаю. . .» «Я, люди, с вами ел и пил. ..» Соловей, Поэма о движении. Победа. Жилен напротив. «Я знаю жизнь. Ее я изучил.. .» Земляк. Пустой обряд. «Интернационал» «Поэт бывал и нищим и царем. . .» «В сапогах огромного разм ера.. .» «В осенней вышине. . .» Из иностранной тетради. Потеря пафоса. Ритм. «Округлы облака и женщины. К ругла.. .» Овладеванье. «Впервые в жизни выпил водку. . .» Мыслители. Творчество. «На вешалке в передней шубка кунья. ..» Простота. Поют слепые. Любимые. «Порой в гостях за чашкой чая. . .» Красота. Немое кино. Привычки. «Нет никого загадочней акынов! . .» «Про смерть поэта с болью говорили. ..» Не спешу. «Я не люблю названья полатыни. . .» Слово. Цыгане. «Я согласен, что могут быть разные вкусы ...» Природа. Час. «Звериное тепло домашнего ую та.. .» Земные пределы. «Мир разложил на части Пикассо. ..» «Если в поле, где-то в дальней дали. . .» Вожделение. Женщина смеялась. Циник. «Мне писалось лучше в поездах...» «Боюсь гостиниц. Ужасом о б ъ ят.. .» Косноязычье. «Песня в армии. ..» «Мы были, как древнегреческий зю р.. .» «Я славлю обычное. Нету на свете милей. ..» « Мир облиняет. Выцветут все краски...» Моя рука. «Мне не сойти с привычной колеи. ..» «Посреди московского д в о р а...» Неизвестное. «Художник, воспитай ученика. ..» Весна. «В этом мире, таком одиноком. . .» «В судь бу походную влю бленный...» Л ицо. «В парк с гитарой идем для ф орсу...» «Так начинай же правду говорить...» «Крестились готы. В водоем до плеч.. .» «Когда-нибудь однажды в гастрономе. ..» «Я чувствую разумность бытия. ..» «Подумаешь, Америку открыли! . .» Благородство. «Что нужно, чтоб постом стать? ..» Моими глазами; А. Турков. Об авторе этой книги",3,,,ВинокуровЕ,NA
"Винокуров, И.",22,ВинокуровИ,m,"Как старик смерть прогнал; По- Южному Сахалину; Пешком на полюс; Самолет летит; Трое отважных; Подвиг адмирала Невельского; На аэродроме; Кто водит самолеты; Какие бывают самолеты; Как самолет в поле работает; Воздушный охотник; Летит высоко, а видит глубоко; Сквозь буран; Праздник; Много дел у наших летчиков",15,,,ВинокуровИ,NA
"Винокуров, И. Г.",1,ВинокуровИГ,m,"Веселый теремок",1,,,ВинокуровИ,ВинокуровИГ
"Винокуров, Иван",28,ВинокуровИГ,m,"Разноцветный поясок; Сладкие капели; Сушки; Гусиное письмо; Опята; Дождик; Про запас; Кораблик; Скорая помощь; Обида; Озорник; Я рисую; Осень; Снежная баба; Зорька; Речка; Добрый паренс..; Паровоз; Чернильная капля; Речной постовой; Маляр; Поливалка; Коза; Лягушата; Сверчок; Одуванчик; Снегопад",27,,,ВинокуровИ,NA
"Винокуров, С. В.",1,ВинокуровСВ,m,"Воронежская пионерская организация",1,,,ВинокуровС,ВинокуровСВ
"Винс, К.",1,ВинсК,-,"Крымская пионерия в колхозах",1,,,ВинсК,NA
"Винтин, Г.",1,ВинтинГ,m,"Мастерская авиамоделиста",1,,,ВинтинГ,NA
"Винтовкина, И. С.",2,ВинтовкинаИС,f,"Девочке — подростку; Девочке-подростку",2,,,ВинтовкинаИ,ВинтовкинаИС
"Винтовкина, Ирина",1,ВинтовкинаИС,f,Девочке-подростку,1,,,ВинтовкинаИ,NA
"Вирганский, Б.",1,ВирганскийБ,m,"Чудеса, да и только",1,,,ВирганскийБ,NA
"Вирта, Н.",6,ВиртаН,m,Иностранка,1,,,ВиртаН,NA
"Вирта, Николай",5,ВиртаН,m,"Их верность; Мой помощник Карсыбек; Тот, кого мы не знаем; На степном разъезде",4,,,ВиртаН,NA
"Висков, В.",1,ВисковВ,m,"Стенгазета «Квартира 46»",1,,,ВисковВ,NA
"Висленев, М. В.",1,ВисленевМВ,m,"Пионерский полевой электрический телеграф",1,,,ВисленевМ,ВисленевМВ
"Вистин, М.",1,ВистинМ,m,"Александр Пархоменко",1,,,ВистинМ,NA
"Висягин, Н. И.",1,ВисягинНИ,m,"Богатства соляных озер Кулунды",1,,,ВисягинН,ВисягинНИ
"Вита, В. А.",13,ВитаВА,-,"Про красного коня; Если бы вы знали; Позовите дядю Антона; Точка, точка, запятая...; Забытые санки; Дайте мальчику куколку!; Я — Беатриче; Ладушки, ладушки!; Чай, чай, молочай...; Леськины гномики; И я хочу рисовать; Божья коровка...; Покатигорошек",13,,,ВитаВ,ВитаВА
"Витальев, А.",1,ВитальевА,m,NOTITLE,1,,,ВитальевА,NA
"Витез, Григор",34,ВитезГ,m,"Полный дом веселья; СОЛНЦЕ ДЛЯ МАМЫ. Солнце для мамы; Зима; Ветер; Новогодние подарки; Зимний ветер; Черный друг; Синица; Необычная радиопередача; Весна подарила; Маленькая береза; Осенний ветер; Мальчик и Зима; Морские башмаки; Какого цвета ручей; Заход солнца; Кабы деревья ходили. .; Детский месяцеслов. ОДНАЖДБ1 УТРОМ В РОЩЕ. Однажды утром в роще; Корова читает; Урок рисования; Кому какой учебник; Приглашаем в цирк; Что случилось?—Как зовут царскую птицу?—Песенка лодыря; Сто волков; Эй, карандаш!—Почему бы и не так?—Мы путешествуем; Недотепа; Трудная задача; Мяч; Младший брат; В Мишкином кармане; Петух Будидень и ленивый Радо; Ответьте Ване; У открытого окна; Сороконожка; Сом и Рак. СИНИИ СНЕГ. Сказка для чтения и представления",35,,,ВитезГ,NA
"Витензон, Ж.",6,ВитензонЖ,f,"Сказка о храбром Ятто и его сестре Тэюнэ; Варежка; Лужа-щенок; Орленок; Храбрый олененок; Василек",6,,,ВитензонЖ,NA
"Витензон, Жанна",1,ВитензонЖ,f,"Сказка о храбром Ятто и его сестре Тэюнэ",1,,,ВитензонЖ,NA
"Витка, В.",3,ВиткаВ,m,"Белочкино горе; Трудная дружба; Кто помогает солнцу",3,,,ВиткаВ,NA
"Витка, Василь",43,ВиткаВ,m,"Белкино горе; Три сказки; Бабушкины гости; Дударик; Белкино горе. Сокр. пер. Дм. Осипа; • Аистиное лето. Сокр. пер. Ел. Благининой; Белочкино горе. Домик на колесе. Пер. А. Шарапова; Серебряный зубр. Пер. Н. Кислика; Воробей; Дождь; (Считалочка); Загадка; Сыч и сова; Мельница; Жадный пес; РОДНЫЕ НАПЕВЫ; Дорожка; Колыбельная; Костя и Катя; Жадина; Дождик; Сорочьи блины; Забияки; Генерал; НАШИ ПТИЦЫ; Синица; Чибис; Кукушка; Перепелка; Соловей; Ласточка; КЛАССЫ; Классы; Простокваша; Ирис и барбарис; Что ты, хлопчик, продаешь? Находка; Моя семья; Сколько сорок? ПНШ",38,,,ВиткаВ,NA
"Виткович, В.",1,ВитковичВС,m,"Сказка о малярной кисти",1,,,ВитковичВ,NA
"Виткович, В. С.",5,ВитковичВС,m,"Сказки среди бела дня; Всадник на золотом коне; Тайна Сан Ваныча; см; ДЛ; 64—66, № 389",6,,,ВитковичВ,ВитковичВС
"Виткович, Виктор",9,ВитковичВС,m,"Сказка среди бела дня; День чудес; Сказки среди бела дня; Волшебная лампа Аладдина; Сказка о малярной кисти; Кукольная комедия; ,; (Кукольная комедия)",8,,,ВитковичВ,NA
"Витте, Н. С.",1,ВиттеНС,-,"Красные дьяволята или охота за голубой лисицей",1,,,ВиттеН,ВиттеНС
"Витфогель, К. А.",2,ВитфогельКА,-,"Интересные приключения 12-летнего героя Антонио Маскаро во время крестьянского восстания на Малларке; Необычайные приключения двенадцатилетнего борца за свободу Антонио Маскаро",2,,,ВитфогельК,ВитфогельКА
"Витязев, Д. И.",2,ВитязевДИ,m,"Орден 67",1,,,ВитязевД,ВитязевДИ
"Вихко, Е.",11,ВихкоЕ,f,"Рукавички; Товарищ; Галя; Новенький; Спасибо; Кукла; Новый дом; Сестра; Дежурные; Бабушка; Папин день рождения",11,,,ВихкоЕ,NA
"Вихко, Екатерина",12,ВихкоЕ,f,"Рукавички; Спасибо; Галя; Новенький; Сестра; Кукла; Новый дом; Дежурные; Товарищ; Бабушка; Папин день рождения",11,,,ВихкоЕ,NA
"Вихрева, М.",1,ВихреваМ,f,"На колесах",1,,,ВихреваМ,NA
"Вишнев, П.",1,ВишневП,m,Юнги,1,,,ВишневП,NA
"Вишнев, Павел",5,ВишневП,m,"Юнги; Юнга",2,,,ВишневП,NA
"Вишневская, Е. Д.",1,ВишневскаяЕД,f,"Антирелигиозная поэзия и проза",1,,,ВишневскаяЕ,ВишневскаяЕД
"Вишневский, А.",4,ВишневскийА,m,"Радиоприемник юного туриста",3,,,ВишневскийА,NA
"Вишневский, А. И.",6,ВишневскийАИ,m,"Зимние развлечения детей и подростков; Летние развлечения детей и подростков; Настольные игры соревнования; Новые игры подростков; Игры колхозных пионеров; Игры юных пионеров",4,,,ВишневскийА,ВишневскийАИ
"Вишневский, В. В.",1,ВишневскийВВ,m,"Оптимистическая трагедия",1,,,ВишневскийВ,ВишневскийВВ
"Вишневский, Вс.",6,ВишневскийВВ,m,"Незабываемый 1919-й; Рассказы; Оптимистическая трагедия. Пьеса в 3-х актах; Либава; Гибель Кронштадтского полка-",5,,,ВишневскийВ,NA
"Вишневский, К. Д.",1,ВишневскийКД,m,"Мир глазами поэта",1,,,ВишневскийК,ВишневскийКД
"Вишневский, Л. Д.",2,ВишневскийЛД,m,"Элементоорганические соединения; Под знаком углерода: Элементы IV группы период, системы Д. И. Менделеева",2,,,ВишневскийЛ,ВишневскийЛД
"Вишня, О.",12,ВишняО,-,"Послушайте старика; ВОТ КАК МЫ КОГДА-ТО ЖИЛИ. «Моя автобиография»; Как мы когда-то учились; Первый диктант; Петрик, «Резеда» и барыня; Мудрость народная; Всю жизнь с Гоголем. РАСТИТЕ БОЛЬШИЕ. В Новом году—все новое, хорошее!— Геометрия — «Федя-тетрадь»; Параллелепипед. НИ ПУХА НИ ПЕРА. (Из «Охотничьих рассказов».) Перепелка; Лебедь; Медведь; Олекса Иванович; Экипировка охотника; Сом",13,,,ВишняО,NA
"Вирольо, Ш.",1,ВироллоШ,m,"Легенда о Христе",1,,,ВиюльоИ,NA
"Влагина, А. Г.",1,ВлагинаАГ,f,"Славный охотник Лаурикадж",1,,,ВлагинаА,ВлагинаАГ
"Владений, И.",1,ВладенийИ,m,"Ошибка Исаака Ньютона",1,,,ВладенийИ,NA
"Владимиров, А.",32,ВладимировА,m,"Цирк; Что на чем держится; О ЧЕМ РАССКАЗАЛ ИСТОРИК; Крылья Икара; Подземные колонны; Обитель горных духов; Лесной ткач; Корабли на веревочках; Бумажные заросли; О ЧЕМ НЕ РАССКАЗАЛ ИСТОРИ К, НО ТЕМ НЕ МЕНЕЕ СТОИТ УЗНАТЬ; О ЧЕМ РАССКАЗАЛ И Н Ж ЕН ЕР; Крутая гора; «Слезы» гевеи; Три камня; Л едяные бастионы; Грохочущая тишина; Открытие за забором; О ЧЕМ НЕ РАССКАЗАЛ И Н Ж Е Н ЕР, НО ЧТО ТЕМ НЕ М ЕНЕЕ СТОИТ УЗНАТЬ; О ЧЕМ РАССКАЗАЛ СВАРЩ ИКЗнакомый почерк; Н евидимое сокровище; Подземная скала; Примирившиеся враги; П лавучий десант; О ЧЕМ НЕ РАССКАЗАЛ СВАРЩ ИК, НО ЧТО ТЕМ НЕ М ЕНЕЕ СТОИТ У ЗНАТЬ; О ЧЕМ РАССКАЗАЛ ХИМИК; Мундиры из творога; Чернильный дождь; Крылатый клей; Нетканые ткани; «Лечебный» жук, или живая смола; Подводный парус; Эмэрэс; О ЧЕМ НЕ РАССКАЗАЛ ХИМИК, НО ЧТО ТЕМ НЕ М ЕНЕЕ СТОИТ УЗНАТЬ",33,,,ВладимировА,NA
